op,element_type,analysis,n,sparsity,time_ns
SUM,double,"AnalysisFlag::min",4096,0.05,1.29709e+06
SUM,double,"AnalysisFlag::min",4096,0.05,1.29622e+06
SUM,double,"AnalysisFlag::min",4096,0.05,1.2963e+06
SUM,double,"AnalysisFlag::min",4096,0.05,1.29764e+06
SUM,double,"AnalysisFlag::min",4096,0.05,1.29629e+06
SUM,double,"AnalysisFlag::min",4096,0.05,1.30102e+06
SUM,double,"AnalysisFlag::min",4096,0.05,1.29844e+06
SUM,double,"AnalysisFlag::min",4096,0.05,1.29858e+06
SUM,double,"AnalysisFlag::min",4096,0.05,1.29802e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.05,94107
SUM,int64_t,"AnalysisFlag::min",1024,0.05,93092
SUM,int64_t,"AnalysisFlag::min",1024,0.05,83031
SUM,int64_t,"AnalysisFlag::min",1024,0.05,92853
SUM,int64_t,"AnalysisFlag::min",1024,0.05,92841
SUM,int64_t,"AnalysisFlag::min",1024,0.05,83858
SUM,int64_t,"AnalysisFlag::min",1024,0.05,81895
SUM,int64_t,"AnalysisFlag::min",1024,0.05,92885
SUM,int64_t,"AnalysisFlag::min",1024,0.05,82114
SUM,int64_t,"AnalysisFlag::min",1024,0.05,81959
SUM,int64_t,"AnalysisFlag::min",2048,0.05,324363
SUM,int64_t,"AnalysisFlag::min",2048,0.05,324116
SUM,int64_t,"AnalysisFlag::min",2048,0.05,324176
SUM,int64_t,"AnalysisFlag::min",2048,0.05,324078
SUM,int64_t,"AnalysisFlag::min",2048,0.05,327924
SUM,int64_t,"AnalysisFlag::min",2048,0.05,325822
SUM,int64_t,"AnalysisFlag::min",2048,0.05,323937
SUM,int64_t,"AnalysisFlag::min",2048,0.05,328090
SUM,int64_t,"AnalysisFlag::min",2048,0.05,326131
SUM,int64_t,"AnalysisFlag::min",2048,0.05,331078
SUM,int64_t,"AnalysisFlag::min",4096,0.05,1.19176e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.05,1.18279e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.05,1.18449e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.05,1.19206e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.05,1.18101e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.05,1.23074e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.05,1.19721e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.05,1.20129e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.05,1.22572e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.05,1.18066e+06
SUM,double,"AnalysisFlag::min",1024,0.1,166428
SUM,double,"AnalysisFlag::min",1024,0.1,165391
SUM,double,"AnalysisFlag::min",1024,0.1,169232
