op,element_type,analysis,n,sparsity,time_ns
SUM,int64_t,"AnalysisFlag::min",4096,0.2,1.39181e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.61092e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.60588e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.60531e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.60702e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.61454e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.60882e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.60531e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.60476e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.61453e+06
SUM,double,"AnalysisFlag::min",1024,0.25,1.60679e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.44382e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.4414e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.45151e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.46113e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.43928e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.45068e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.44701e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.45894e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.46672e+06
SUM,double,"AnalysisFlag::min",2048,0.25,6.44945e+06
SUM,double,"AnalysisFlag::min",4096,0.25,2.56806e+07
SUM,double,"AnalysisFlag::min",4096,0.25,2.56833e+07
SUM,double,"AnalysisFlag::min",4096,0.25,2.56732e+07
SUM,double,"AnalysisFlag::min",4096,0.25,2.5674e+07
SUM,double,"AnalysisFlag::min",4096,0.25,2.56776e+07
SUM,double,"AnalysisFlag::min",4096,0.25,2.56877e+07
SUM,double,"AnalysisFlag::min",4096,0.25,2.56904e+07
SUM,double,"AnalysisFlag::min",4096,0.25,2.57049e+07
SUM,double,"AnalysisFlag::min",4096,0.25,2.56907e+07
SUM,double,"AnalysisFlag::min",4096,0.25,2.56871e+07
SUM,int64_t,"AnalysisFlag::min",1024,0.25,1.19033e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.25,1.17888e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.25,1.18006e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.25,1.18015e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.25,1.18012e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.25,1.17846e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.25,1.17831e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.25,1.17853e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.25,1.17856e+06
SUM,int64_t,"AnalysisFlag::min",1024,0.25,1.17856e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.25,4.44292e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.25,4.43884e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.25,4.43139e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.25,4.4315e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.25,4.42958e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.25,4.43736e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.25,4.43476e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.25,4.4342e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.25,4.43062e+06
SUM,int64_t,"AnalysisFlag::min",2048,0.25,4.43566e+06
SUM,int64_t,"AnalysisFlag::min",4096,0.25,1.75422e+07
SUM,int64_t,"AnalysisFlag::min",4096,0.25,1.75487e+07
SUM,int64_t,"AnalysisFlag::min",4096,0.25,1.75248e+07
SUM,int64_t,"AnalysisFlag::min",4096,0.25,1.75445e+07
SUM,int64_t,"AnalysisFlag::min",4096,0.25,1.75527e+07
SUM,int64_t,"AnalysisFlag::min",4096,0.25,1.75287e+07
SUM,int64_t,"AnalysisFlag::min",4096,0.25,1.75258e+07
SUM,int64_t,"AnalysisFlag::min",4096,0.25,1.75412e+07
SUM,int64_t,"AnalysisFlag::min",4096,0.25,1.75289e+07
SUM,int64_t,"AnalysisFlag::min",4096,0.25,1.754e+07
SUM,double,"AnalysisFlag::min",1024,1,1.67387e+06
SUM,double,"AnalysisFlag::min",1024,1,1.60711e+06
SUM,double,"AnalysisFlag::min",1024,1,1.61227e+06
SUM,double,"AnalysisFlag::min",1024,1,1.60666e+06
SUM,double,"AnalysisFlag::min",1024,1,1.60484e+06
SUM,double,"AnalysisFlag::min",1024,1,1.60644e+06
SUM,double,"AnalysisFlag::min",1024,1,1.60466e+06
SUM,double,"AnalysisFlag::min",1024,1,1.60647e+06
SUM,double,"AnalysisFlag::min",1024,1,1.60836e+06
SUM,double,"AnalysisFlag::min",1024,1,1.61032e+06
SUM,double,"AnalysisFlag::min",2048,1,6.43025e+06
SUM,double,"AnalysisFlag::min",2048,1,6.42654e+06
SUM,double,"AnalysisFlag::min",2048,1,6.44564e+06
SUM,double,"AnalysisFlag::min",2048,1,6.44943e+06
SUM,double,"AnalysisFlag::min",2048,1,6.45043e+06
SUM,double,"AnalysisFlag::min",2048,1,6.43124e+06
SUM,double,"AnalysisFlag::min",2048,1,6.4766e+06
SUM,double,"AnalysisFlag::min",2048,1,6.44808e+06
SUM,double,"AnalysisFlag::min",2048,1,6.44836e+06
SUM,double,"AnalysisFlag::min",2048,1,6.45144e+06
SUM,double,"AnalysisFlag::min",4096,1,2.57269e+07
SUM,double,"AnalysisFlag::min",4096,1,2.56748e+07
SUM,double,"AnalysisFlag::min",4096,1,2.56718e+07
SUM,double,"AnalysisFlag::min",4096,1,2.56962e+07
SUM,double,"AnalysisFlag::min",4096,1,2.57624e+07
SUM,double,"AnalysisFlag::min",4096,1,2.56907e+07
SUM,double,"AnalysisFlag::min",4096,1,2.56835e+07
SUM,double,"AnalysisFlag::min",4096,1,2.56981e+07
SUM,double,"AnalysisFlag::min",4096,1,2.56741e+07
SUM,double,"AnalysisFlag::min",4096,1,2.56731e+07
SUM,int64_t,"AnalysisFlag::min",1024,1,1.22275e+06
SUM,int64_t,"AnalysisFlag::min",1024,1,1.17803e+06
SUM,int64_t,"AnalysisFlag::min",1024,1,1.17827e+06
SUM,int64_t,"AnalysisFlag::min",1024,1,1.17742e+06
SUM,int64_t,"AnalysisFlag::min",1024,1,1.17762e+06
SUM,int64_t,"AnalysisFlag::min",1024,1,1.17786e+06
SUM,int64_t,"AnalysisFlag::min",1024,1,1.17765e+06
SUM,int64_t,"AnalysisFlag::min",1024,1,1.17751e+06
SUM,int64_t,"AnalysisFlag::min",1024,1,1.17558e+06
SUM,int64_t,"AnalysisFlag::min",1024,1,1.17575e+06
SUM,int64_t,"AnalysisFlag::min",2048,1,4.45643e+06
SUM,int64_t,"AnalysisFlag::min",2048,1,4.43824e+06
SUM,int64_t,"AnalysisFlag::min",2048,1,4.44006e+06
SUM,int64_t,"AnalysisFlag::min",2048,1,4.43633e+06
SUM,int64_t,"AnalysisFlag::min",2048,1,4.43072e+06
SUM,int64_t,"AnalysisFlag::min",2048,1,4.4301e+06
SUM,int64_t,"AnalysisFlag::min",2048,1,4.43453e+06
SUM,int64_t,"AnalysisFlag::min",2048,1,4.43243e+06
SUM,int64_t,"AnalysisFlag::min",2048,1,4.43412e+06
SUM,int64_t,"AnalysisFlag::min",2048,1,4.43553e+06
