op,element_type,analysis,n,sparsity,mean_ns,std_ns,kernel,approach,mode,select-matrix-repr
ADD,int64_t,numDistinct,2048,0.001,88556.8,1224.4912594397908,EwBinary,fused,,
ADD,int64_t,numDistinct,2048,0.01,610405.0,48402.32209994338,EwBinary,fused,,
ADD,int64_t,numDistinct,2048,0.05,5280962.0,831359.9437040226,EwBinary,fused,,
ADD,int64_t,numDistinct,2048,0.1,10947113.0,1776569.8020877198,EwBinary,fused,,
ADD,int64_t,numDistinct,2048,0.2,26316910.0,5042417.114274992,EwBinary,fused,,
ADD,int64_t,numDistinct,2048,0.25,32738940.0,2695372.2782247025,EwBinary,fused,,
ADD,int64_t,numDistinct,2048,1.0,46589990.0,1514997.543415684,EwBinary,fused,,
ADD,int64_t,numDistinct,4096,0.001,276757.6,7185.389577314358,EwBinary,fused,,
ADD,int64_t,numDistinct,4096,0.01,3093587.0,470440.2020342225,EwBinary,fused,,
ADD,int64_t,numDistinct,4096,0.05,27582030.0,5482867.813481473,EwBinary,fused,,
ADD,int64_t,numDistinct,4096,0.1,54663160.0,10603749.13249502,EwBinary,fused,,
ADD,int64_t,numDistinct,4096,0.2,105666690.0,19822022.51551149,EwBinary,fused,,
ADD,int64_t,numDistinct,4096,0.25,131449700.0,10946148.303297274,EwBinary,fused,,
ADD,int64_t,numDistinct,4096,1.0,186746600.0,5618834.461977959,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,1024,0.001,67107.4,2402.949770594472,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,1024,0.01,763191.2,117398.50115624705,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,1024,0.05,4208128.0,753611.6639785005,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,1024,0.1,8317259.0,1442799.070598921,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,1024,0.2,15875955.0,2693846.7112260363,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,1024,0.25,26449940.0,1751767.8005692167,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,1024,1.0,39213500.0,934291.137113528,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,2048,0.001,253594.4,12095.948836972924,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,2048,0.01,3150303.0,551818.2204524723,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,2048,0.05,16987055.0,2939631.616607957,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,2048,0.1,33439390.0,5924348.688712072,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,2048,0.2,69647790.0,13099593.147749117,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,2048,0.25,120985980.0,9856908.93646572,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,2048,1.0,166829000.0,4748534.557570837,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,4096,0.001,1107473.8,127338.0795885068,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,4096,0.01,13325886.0,2485404.2661023983,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,4096,0.05,74577180.0,14109994.100069636,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,4096,0.1,145047440.0,26807626.915206213,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,4096,0.2,277919000.0,50975526.03619374,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,4096,0.25,469405800.0,43699569.05915155,EwBinary,fused,,
ADD,int64_t,numDistinctApprox,4096,1.0,669367100.0,16806984.371253386,EwBinary,fused,,
ADD,int64_t,sparsity,1024,0.001,21617.0,2121.743779693172,EwBinary,fused,,
ADD,int64_t,sparsity,1024,0.01,104920.4,24851.282373350477,EwBinary,fused,,
ADD,int64_t,sparsity,1024,0.05,541700.9,159338.4721050339,EwBinary,fused,,
ADD,int64_t,sparsity,1024,0.1,1044115.6,197117.24435032735,EwBinary,fused,,
ADD,int64_t,sparsity,1024,0.2,2061013.0,363362.8155637894,EwBinary,fused,,
ADD,int64_t,sparsity,1024,0.25,1089162.0,8502.344513263497,EwBinary,fused,,
ADD,int64_t,sparsity,1024,1.0,1106762.0,30509.877380575934,EwBinary,fused,,
ADD,int64_t,sparsity,2048,0.001,60464.7,8614.25507258495,EwBinary,fused,,
ADD,int64_t,sparsity,2048,0.01,400518.3,105643.3802007174,EwBinary,fused,,
ADD,int64_t,sparsity,2048,0.05,2088033.0,394405.7238160836,EwBinary,fused,,
ADD,int64_t,sparsity,2048,0.1,4126110.0,765189.1406268998,EwBinary,fused,,
ADD,int64_t,sparsity,2048,0.2,12883982.0,2902397.82526946,EwBinary,fused,,
ADD,int64_t,sparsity,2048,0.25,11834510.0,10351.323050165623,EwBinary,fused,,
ADD,int64_t,sparsity,2048,1.0,11795380.0,19784.101361109533,EwBinary,fused,,
ADD,int64_t,sparsity,4096,0.001,192644.6,36065.62454809904,EwBinary,fused,,
ADD,int64_t,sparsity,4096,0.01,1585518.9,421150.0136226072,EwBinary,fused,,
ADD,int64_t,sparsity,4096,0.05,13412177.0,3076869.502949205,EwBinary,fused,,
ADD,int64_t,sparsity,4096,0.1,26522192.0,6093683.151717761,EwBinary,fused,,
ADD,int64_t,sparsity,4096,0.2,52303020.0,11736550.279911423,EwBinary,fused,,
ADD,int64_t,sparsity,4096,0.25,48568640.0,1230727.0860936,EwBinary,fused,,
ADD,int64_t,sparsity,4096,1.0,47792040.0,807513.9423632948,EwBinary,fused,,
ADD,int64_t,symmetry,1024,0.001,95759.2,2957.081436521866,EwBinary,fused,,
ADD,int64_t,symmetry,1024,0.01,199598.7,30241.850413881017,EwBinary,fused,,
ADD,int64_t,symmetry,1024,0.05,687115.8,125549.79181433248,EwBinary,fused,,
ADD,int64_t,symmetry,1024,0.1,1305615.1,221711.0309892636,EwBinary,fused,,
ADD,int64_t,symmetry,1024,0.2,2483357.0,429546.833872629,EwBinary,fused,,
ADD,int64_t,symmetry,1024,0.25,1429637.0,12622.651640778337,EwBinary,fused,,
ADD,int64_t,symmetry,1024,1.0,1437246.0,25813.881795137542,EwBinary,fused,,
ADD,int64_t,symmetry,2048,0.001,213321.8,10219.226930970208,EwBinary,fused,,
ADD,int64_t,symmetry,2048,0.01,624284.2,123063.4935296952,EwBinary,fused,,
ADD,int64_t,symmetry,2048,0.05,2611998.0,447808.3042701791,EwBinary,fused,,
ADD,int64_t,symmetry,2048,0.1,5015894.0,929470.8978314252,EwBinary,fused,,
ADD,int64_t,symmetry,2048,0.2,14444440.0,3253327.0751988986,EwBinary,fused,,
ADD,int64_t,symmetry,2048,0.25,13050460.0,14570.83845677154,EwBinary,fused,,
ADD,int64_t,symmetry,2048,1.0,13002570.0,9398.469142483926,EwBinary,fused,,
ADD,int64_t,symmetry,4096,0.001,523055.0,47092.88059427525,EwBinary,fused,,
ADD,int64_t,symmetry,4096,0.01,2151874.3,489341.54651192017,EwBinary,fused,,
ADD,int64_t,symmetry,4096,0.05,15204415.0,3430841.534444898,EwBinary,fused,,
ADD,int64_t,symmetry,4096,0.1,29874160.0,6843250.970148942,EwBinary,fused,,
