mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
vectorized,Add,double,,2048,0.25,3,48,True
naive,Add,double,,2048,0.25,3,15399284,True
vectorized,Add,double,,2048,0.25,4,58,True
naive,Add,double,,2048,0.25,4,15404729,True
vectorized,Add,double,,2048,0.25,5,58,True
naive,Add,double,,2048,0.25,5,14830966,True
vectorized,Add,double,,2048,0.25,6,57,True
naive,Add,double,,2048,0.25,6,15359904,True
vectorized,Add,double,,2048,0.25,7,49,True
naive,Add,double,,2048,0.25,7,15349839,True
vectorized,Add,double,,2048,0.25,8,58,True
naive,Add,double,,2048,0.25,8,15367850,True
vectorized,Add,double,,2048,0.25,9,48,True
naive,Add,double,,2048,0.25,9,14407353,True
vectorized,Add,double,,2048,1.0,0,138,True
naive,Add,double,,2048,1.0,0,14496628,True
vectorized,Add,double,,2048,1.0,1,56,True
naive,Add,double,,2048,1.0,1,15147504,True
vectorized,Add,double,,2048,1.0,2,57,True
naive,Add,double,,2048,1.0,2,15574533,True
vectorized,Add,double,,2048,1.0,3,58,True
naive,Add,double,,2048,1.0,3,15419852,True
vectorized,Add,double,,2048,1.0,4,59,True
naive,Add,double,,2048,1.0,4,14523064,True
vectorized,Add,double,,2048,1.0,5,55,True
naive,Add,double,,2048,1.0,5,14798356,True
vectorized,Add,double,,2048,1.0,6,48,True
naive,Add,double,,2048,1.0,6,15611948,True
vectorized,Add,double,,2048,1.0,7,57,True
naive,Add,double,,2048,1.0,7,14499579,True
vectorized,Add,double,,2048,1.0,8,49,True
naive,Add,double,,2048,1.0,8,15216465,True
vectorized,Add,double,,2048,1.0,9,57,True
naive,Add,double,,2048,1.0,9,14531286,True
vectorized,Add,double,,4096,0.001,0,70,True
naive,Add,double,,4096,0.001,0,305476,True
vectorized,Add,double,,4096,0.001,1,98,True
naive,Add,double,,4096,0.001,1,517872,True
vectorized,Add,double,,4096,0.001,2,67,True
naive,Add,double,,4096,0.001,2,514388,True
vectorized,Add,double,,4096,0.001,3,74,True
naive,Add,double,,4096,0.001,3,520501,True
vectorized,Add,double,,4096,0.001,4,75,True
naive,Add,double,,4096,0.001,4,497913,True
vectorized,Add,double,,4096,0.001,5,89,True
naive,Add,double,,4096,0.001,5,500282,True
vectorized,Add,double,,4096,0.001,6,80,True
naive,Add,double,,4096,0.001,6,497528,True
vectorized,Add,double,,4096,0.001,7,73,True
naive,Add,double,,4096,0.001,7,509083,True
vectorized,Add,double,,4096,0.001,8,73,True
naive,Add,double,,4096,0.001,8,500379,True
vectorized,Add,double,,4096,0.001,9,72,True
naive,Add,double,,4096,0.001,9,501951,True
vectorized,Add,double,,4096,0.01,0,78,True
naive,Add,double,,4096,0.01,0,2028031,True
vectorized,Add,double,,4096,0.01,1,83,True
naive,Add,double,,4096,0.01,1,4321566,True
vectorized,Add,double,,4096,0.01,2,73,True
naive,Add,double,,4096,0.01,2,4308426,True
vectorized,Add,double,,4096,0.01,3,125,True
naive,Add,double,,4096,0.01,3,4320219,True
vectorized,Add,double,,4096,0.01,4,72,True
naive,Add,double,,4096,0.01,4,4345798,True
vectorized,Add,double,,4096,0.01,5,75,True
naive,Add,double,,4096,0.01,5,4365167,True
vectorized,Add,double,,4096,0.01,6,71,True
naive,Add,double,,4096,0.01,6,4325838,True
vectorized,Add,double,,4096,0.01,7,100,True
naive,Add,double,,4096,0.01,7,4362359,True
vectorized,Add,double,,4096,0.01,8,112,True
naive,Add,double,,4096,0.01,8,4339340,True
vectorized,Add,double,,4096,0.01,9,78,True
naive,Add,double,,4096,0.01,9,4339586,True
vectorized,Add,double,,4096,0.05,0,138,True
naive,Add,double,,4096,0.05,0,5882819,True
vectorized,Add,double,,4096,0.05,1,176,True
naive,Add,double,,4096,0.05,1,16952723,True
vectorized,Add,double,,4096,0.05,2,70,True
naive,Add,double,,4096,0.05,2,16451799,True
vectorized,Add,double,,4096,0.05,3,83,True
naive,Add,double,,4096,0.05,3,15614545,True
vectorized,Add,double,,4096,0.05,4,83,True
naive,Add,double,,4096,0.05,4,16651183,True
vectorized,Add,double,,4096,0.05,5,65,True
naive,Add,double,,4096,0.05,5,15977004,True
vectorized,Add,double,,4096,0.05,6,58,True
naive,Add,double,,4096,0.05,6,16455381,True
vectorized,Add,double,,4096,0.05,7,84,True
naive,Add,double,,4096,0.05,7,15606678,True
vectorized,Add,double,,4096,0.05,8,65,True
naive,Add,double,,4096,0.05,8,16411300,True
vectorized,Add,double,,4096,0.05,9,58,True
naive,Add,double,,4096,0.05,9,15957837,True
vectorized,Add,double,,4096,0.1,0,50,True
naive,Add,double,,4096,0.1,0,12185537,True
vectorized,Add,double,,4096,0.1,1,83,True
naive,Add,double,,4096,0.1,1,32510586,True
vectorized,Add,double,,4096,0.1,2,56,True
naive,Add,double,,4096,0.1,2,32471839,True
vectorized,Add,double,,4096,0.1,3,47,True
naive,Add,double,,4096,0.1,3,31068650,True
vectorized,Add,double,,4096,0.1,4,81,True
naive,Add,double,,4096,0.1,4,31180845,True
vectorized,Add,double,,4096,0.1,5,71,True
naive,Add,double,,4096,0.1,5,32456837,True
vectorized,Add,double,,4096,0.1,6,55,True
naive,Add,double,,4096,0.1,6,32866173,True
vectorized,Add,double,,4096,0.1,7,58,True
naive,Add,double,,4096,0.1,7,33082370,True
vectorized,Add,double,,4096,0.1,8,68,True
naive,Add,double,,4096,0.1,8,31677268,True
vectorized,Add,double,,4096,0.1,9,70,True
naive,Add,double,,4096,0.1,9,32548237,True
vectorized,Add,double,,4096,0.2,0,56,False
naive,Add,double,,4096,0.2,0,61488315,False
vectorized,Add,double,,4096,0.2,1,56,False
naive,Add,double,,4096,0.2,1,59008838,False
vectorized,Add,double,,4096,0.2,2,58,False
naive,Add,double,,4096,0.2,2,61555618,False
vectorized,Add,double,,4096,0.2,3,58,False
naive,Add,double,,4096,0.2,3,59168878,False
vectorized,Add,double,,4096,0.2,4,57,False
naive,Add,double,,4096,0.2,4,61439765,False
vectorized,Add,double,,4096,0.2,5,47,False
naive,Add,double,,4096,0.2,5,60014836,False
vectorized,Add,double,,4096,0.2,6,48,False
naive,Add,double,,4096,0.2,6,61521607,False
vectorized,Add,double,,4096,0.2,7,48,False
naive,Add,double,,4096,0.2,7,62229529,False
vectorized,Add,double,,4096,0.2,8,55,False
naive,Add,double,,4096,0.2,8,61753725,False
vectorized,Add,double,,4096,0.2,9,59,False
naive,Add,double,,4096,0.2,9,61962148,False
vectorized,Add,double,,4096,0.25,0,94,True
naive,Add,double,,4096,0.25,0,59069638,True
vectorized,Add,double,,4096,0.25,1,48,True
naive,Add,double,,4096,0.25,1,61532549,True
vectorized,Add,double,,4096,0.25,2,56,True
naive,Add,double,,4096,0.25,2,64407636,True
vectorized,Add,double,,4096,0.25,3,60,True
naive,Add,double,,4096,0.25,3,60373606,True
vectorized,Add,double,,4096,0.25,4,49,True
naive,Add,double,,4096,0.25,4,63359439,True
vectorized,Add,double,,4096,0.25,5,47,True
naive,Add,double,,4096,0.25,5,58458996,True
vectorized,Add,double,,4096,0.25,6,57,True
naive,Add,double,,4096,0.25,6,61975770,True
vectorized,Add,double,,4096,0.25,7,49,True
naive,Add,double,,4096,0.25,7,61977271,True
vectorized,Add,double,,4096,0.25,8,49,True
naive,Add,double,,4096,0.25,8,61947932,True
vectorized,Add,double,,4096,0.25,9,58,True
naive,Add,double,,4096,0.25,9,59350600,True
vectorized,Add,double,,4096,1.0,0,54,True
naive,Add,double,,4096,1.0,0,62379110,True
vectorized,Add,double,,4096,1.0,1,56,True
naive,Add,double,,4096,1.0,1,61790668,True
vectorized,Add,double,,4096,1.0,2,58,True
naive,Add,double,,4096,1.0,2,61717459,True
vectorized,Add,double,,4096,1.0,3,55,True
naive,Add,double,,4096,1.0,3,61707401,True
vectorized,Add,double,,4096,1.0,4,56,True
naive,Add,double,,4096,1.0,4,62008637,True
vectorized,Add,double,,4096,1.0,5,57,True
naive,Add,double,,4096,1.0,5,61737131,True
vectorized,Add,double,,4096,1.0,6,55,True
naive,Add,double,,4096,1.0,6,62354610,True
vectorized,Add,double,,4096,1.0,7,57,True
naive,Add,double,,4096,1.0,7,62797162,True
vectorized,Add,double,,4096,1.0,8,57,True
naive,Add,double,,4096,1.0,8,61581531,True
vectorized,Add,double,,4096,1.0,9,73,True
naive,Add,double,,4096,1.0,9,60861199,True
vectorized,Add,double,symmetry,1024,0.001,0,21374444,False
naive,Add,double,symmetry,1024,0.001,0,15523354,False
vectorized,Add,double,symmetry,1024,0.001,1,22452431,False
naive,Add,double,symmetry,1024,0.001,1,14858672,False
vectorized,Add,double,symmetry,1024,0.001,2,23144370,False
naive,Add,double,symmetry,1024,0.001,2,14952884,False
vectorized,Add,double,symmetry,1024,0.001,3,22342214,False
naive,Add,double,symmetry,1024,0.001,3,14510847,False
vectorized,Add,double,symmetry,1024,0.001,4,19601746,False
naive,Add,double,symmetry,1024,0.001,4,14378954,False
vectorized,Add,double,symmetry,1024,0.001,5,20887489,False
naive,Add,double,symmetry,1024,0.001,5,14676656,False
vectorized,Add,double,symmetry,1024,0.001,6,21209663,False
naive,Add,double,symmetry,1024,0.001,6,14842169,False
vectorized,Add,double,symmetry,1024,0.001,7,22471486,False
naive,Add,double,symmetry,1024,0.001,7,14873038,False
vectorized,Add,double,symmetry,1024,0.001,8,23287789,False
naive,Add,double,symmetry,1024,0.001,8,14482456,False
vectorized,Add,double,symmetry,1024,0.001,9,22246377,False
naive,Add,double,symmetry,1024,0.001,9,14759385,False
vectorized,Add,double,symmetry,1024,0.01,0,22478793,False
naive,Add,double,symmetry,1024,0.01,0,14414734,False
vectorized,Add,double,symmetry,1024,0.01,1,23092863,False
naive,Add,double,symmetry,1024,0.01,1,13558916,False
vectorized,Add,double,symmetry,1024,0.01,2,22149352,False
naive,Add,double,symmetry,1024,0.01,2,14517406,False
vectorized,Add,double,symmetry,1024,0.01,3,22687086,False
naive,Add,double,symmetry,1024,0.01,3,15160014,False
vectorized,Add,double,symmetry,1024,0.01,4,20157947,False
naive,Add,double,symmetry,1024,0.01,4,15042084,False
vectorized,Add,double,symmetry,1024,0.01,5,20284915,False
naive,Add,double,symmetry,1024,0.01,5,14644237,False
vectorized,Add,double,symmetry,1024,0.01,6,21421516,False
naive,Add,double,symmetry,1024,0.01,6,14711278,False
vectorized,Add,double,symmetry,1024,0.01,7,23317823,False
naive,Add,double,symmetry,1024,0.01,7,15038993,False
vectorized,Add,double,symmetry,1024,0.01,8,22031376,False
naive,Add,double,symmetry,1024,0.01,8,15217044,False
vectorized,Add,double,symmetry,1024,0.01,9,22718123,False
naive,Add,double,symmetry,1024,0.01,9,16030706,False
vectorized,Add,double,symmetry,1024,0.05,0,23627698,False
naive,Add,double,symmetry,1024,0.05,0,15415385,False
vectorized,Add,double,symmetry,1024,0.05,1,22552404,False
naive,Add,double,symmetry,1024,0.05,1,15640342,False
vectorized,Add,double,symmetry,1024,0.05,2,23286267,False
naive,Add,double,symmetry,1024,0.05,2,15044755,False
vectorized,Add,double,symmetry,1024,0.05,3,22755333,False
naive,Add,double,symmetry,1024,0.05,3,15630005,False
vectorized,Add,double,symmetry,1024,0.05,4,21100445,False
naive,Add,double,symmetry,1024,0.05,4,15576950,False
vectorized,Add,double,symmetry,1024,0.05,5,23993574,False
naive,Add,double,symmetry,1024,0.05,5,15631974,False
vectorized,Add,double,symmetry,1024,0.05,6,21810333,False
naive,Add,double,symmetry,1024,0.05,6,15158857,False
vectorized,Add,double,symmetry,1024,0.05,7,23687402,False
naive,Add,double,symmetry,1024,0.05,7,15592303,False
vectorized,Add,double,symmetry,1024,0.05,8,22410760,False
naive,Add,double,symmetry,1024,0.05,8,15820081,False
vectorized,Add,double,symmetry,1024,0.05,9,21561728,False
naive,Add,double,symmetry,1024,0.05,9,15274406,False
vectorized,Add,double,symmetry,1024,0.1,0,22312217,False
naive,Add,double,symmetry,1024,0.1,0,15128354,False
vectorized,Add,double,symmetry,1024,0.1,1,25056367,False
naive,Add,double,symmetry,1024,0.1,1,16393919,False
vectorized,Add,double,symmetry,1024,0.1,2,25515453,False
naive,Add,double,symmetry,1024,0.1,2,16783630,False
vectorized,Add,double,symmetry,1024,0.1,3,22031531,False
naive,Add,double,symmetry,1024,0.1,3,16511684,False
vectorized,Add,double,symmetry,1024,0.1,4,25819874,False
naive,Add,double,symmetry,1024,0.1,4,17133256,False
vectorized,Add,double,symmetry,1024,0.1,5,22012305,False
naive,Add,double,symmetry,1024,0.1,5,16597385,False
vectorized,Add,double,symmetry,1024,0.1,6,25464937,False
naive,Add,double,symmetry,1024,0.1,6,16195974,False
vectorized,Add,double,symmetry,1024,0.1,7,22984088,False
naive,Add,double,symmetry,1024,0.1,7,16665282,False
vectorized,Add,double,symmetry,1024,0.1,8,25135688,False
naive,Add,double,symmetry,1024,0.1,8,16593213,False
vectorized,Add,double,symmetry,1024,0.1,9,23907988,False
naive,Add,double,symmetry,1024,0.1,9,16668076,False
vectorized,Add,double,symmetry,1024,0.2,0,24741799,False
naive,Add,double,symmetry,1024,0.2,0,16496140,False
vectorized,Add,double,symmetry,1024,0.2,1,24767054,False
naive,Add,double,symmetry,1024,0.2,1,17460579,False
vectorized,Add,double,symmetry,1024,0.2,2,25632716,False
naive,Add,double,symmetry,1024,0.2,2,17103508,False
vectorized,Add,double,symmetry,1024,0.2,3,22658659,False
naive,Add,double,symmetry,1024,0.2,3,17219099,False
vectorized,Add,double,symmetry,1024,0.2,4,24363584,False
naive,Add,double,symmetry,1024,0.2,4,16899583,False
vectorized,Add,double,symmetry,1024,0.2,5,27310105,False
naive,Add,double,symmetry,1024,0.2,5,17509049,False
vectorized,Add,double,symmetry,1024,0.2,6,26071048,False
naive,Add,double,symmetry,1024,0.2,6,16975834,False
vectorized,Add,double,symmetry,1024,0.2,7,25274252,False
naive,Add,double,symmetry,1024,0.2,7,17265853,False
vectorized,Add,double,symmetry,1024,0.2,8,26155670,False
naive,Add,double,symmetry,1024,0.2,8,16762426,False
vectorized,Add,double,symmetry,1024,0.2,9,26885220,False
naive,Add,double,symmetry,1024,0.2,9,16800124,False
vectorized,Add,double,symmetry,1024,0.25,0,29608968,True
naive,Add,double,symmetry,1024,0.25,0,17148331,True
vectorized,Add,double,symmetry,1024,0.25,1,25502035,True
naive,Add,double,symmetry,1024,0.25,1,16365289,True
vectorized,Add,double,symmetry,1024,0.25,2,24507247,True
naive,Add,double,symmetry,1024,0.25,2,16361717,True
vectorized,Add,double,symmetry,1024,0.25,3,28970145,True
naive,Add,double,symmetry,1024,0.25,3,16201918,True
vectorized,Add,double,symmetry,1024,0.25,4,24451785,True
naive,Add,double,symmetry,1024,0.25,4,16589305,True
vectorized,Add,double,symmetry,1024,0.25,5,24344926,True
naive,Add,double,symmetry,1024,0.25,5,16429364,True
vectorized,Add,double,symmetry,1024,0.25,6,24576340,True
naive,Add,double,symmetry,1024,0.25,6,16232598,True
vectorized,Add,double,symmetry,1024,0.25,7,25084253,True
naive,Add,double,symmetry,1024,0.25,7,16650706,True
vectorized,Add,double,symmetry,1024,0.25,8,23847561,True
naive,Add,double,symmetry,1024,0.25,8,16330313,True
vectorized,Add,double,symmetry,1024,0.25,9,21171144,True
naive,Add,double,symmetry,1024,0.25,9,16422079,True
vectorized,Add,double,symmetry,1024,1.0,0,20342253,True
naive,Add,double,symmetry,1024,1.0,0,17100149,True
vectorized,Add,double,symmetry,1024,1.0,1,19961465,True
naive,Add,double,symmetry,1024,1.0,1,17257863,True
vectorized,Add,double,symmetry,1024,1.0,2,20532797,True
naive,Add,double,symmetry,1024,1.0,2,17145797,True
vectorized,Add,double,symmetry,1024,1.0,3,20560520,True
naive,Add,double,symmetry,1024,1.0,3,16996700,True
vectorized,Add,double,symmetry,1024,1.0,4,20451220,True
naive,Add,double,symmetry,1024,1.0,4,17049068,True
vectorized,Add,double,symmetry,1024,1.0,5,20237905,True
naive,Add,double,symmetry,1024,1.0,5,17234726,True
