mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
vectorized,idxMin,double,,2048,0.05,4,7046852,False
naive,idxMin,double,,2048,0.05,4,5344290,False
vectorized,idxMin,double,,2048,0.05,5,5287855,False
naive,idxMin,double,,2048,0.05,5,5343173,False
vectorized,idxMin,double,,2048,0.05,6,5320534,False
naive,idxMin,double,,2048,0.05,6,5346408,False
vectorized,idxMin,double,,2048,0.05,7,5326622,False
naive,idxMin,double,,2048,0.05,7,5327495,False
vectorized,idxMin,double,,2048,0.05,8,5508378,False
naive,idxMin,double,,2048,0.05,8,6375466,False
vectorized,idxMin,double,,2048,0.05,9,5340564,False
naive,idxMin,double,,2048,0.05,9,5344664,False
vectorized,idxMin,double,,2048,0.1,0,5348221,False
naive,idxMin,double,,2048,0.1,0,5342323,False
vectorized,idxMin,double,,2048,0.1,1,5337859,False
naive,idxMin,double,,2048,0.1,1,5323120,False
vectorized,idxMin,double,,2048,0.1,2,5337877,False
naive,idxMin,double,,2048,0.1,2,5349826,False
vectorized,idxMin,double,,2048,0.1,3,5346229,False
naive,idxMin,double,,2048,0.1,3,5325302,False
vectorized,idxMin,double,,2048,0.1,4,5322957,False
naive,idxMin,double,,2048,0.1,4,5356734,False
vectorized,idxMin,double,,2048,0.1,5,5341026,False
naive,idxMin,double,,2048,0.1,5,5347395,False
vectorized,idxMin,double,,2048,0.1,6,5315941,False
naive,idxMin,double,,2048,0.1,6,5357066,False
vectorized,idxMin,double,,2048,0.1,7,6890213,False
naive,idxMin,double,,2048,0.1,7,6812300,False
vectorized,idxMin,double,,2048,0.1,8,5336645,False
naive,idxMin,double,,2048,0.1,8,5347005,False
vectorized,idxMin,double,,2048,0.1,9,5342690,False
naive,idxMin,double,,2048,0.1,9,5338791,False
vectorized,idxMin,double,,2048,0.2,0,5327087,False
naive,idxMin,double,,2048,0.2,0,5340037,False
vectorized,idxMin,double,,2048,0.2,1,5338081,False
naive,idxMin,double,,2048,0.2,1,5337461,False
vectorized,idxMin,double,,2048,0.2,2,5335908,False
naive,idxMin,double,,2048,0.2,2,5325546,False
vectorized,idxMin,double,,2048,0.2,3,5339272,False
naive,idxMin,double,,2048,0.2,3,5361120,False
vectorized,idxMin,double,,2048,0.2,4,5322565,False
naive,idxMin,double,,2048,0.2,4,5350788,False
vectorized,idxMin,double,,2048,0.2,5,5368821,False
naive,idxMin,double,,2048,0.2,5,5868273,False
vectorized,idxMin,double,,2048,0.2,6,5324903,False
naive,idxMin,double,,2048,0.2,6,5343628,False
vectorized,idxMin,double,,2048,0.2,7,5355409,False
