mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
naive,,int64_t,,2048,0.1,9,35728,False
vectorized,,int64_t,,2048,0.2,0,35197,False
naive,,int64_t,,2048,0.2,0,36296,False
vectorized,,int64_t,,2048,0.2,1,30801,False
naive,,int64_t,,2048,0.2,1,33078,False
vectorized,,int64_t,,2048,0.2,2,31443,False
naive,,int64_t,,2048,0.2,2,34507,False
vectorized,,int64_t,,2048,0.2,3,31618,False
naive,,int64_t,,2048,0.2,3,35386,False
vectorized,,int64_t,,2048,0.2,4,31321,False
naive,,int64_t,,2048,0.2,4,32700,False
vectorized,,int64_t,,2048,0.2,5,31683,False
naive,,int64_t,,2048,0.2,5,35140,False
vectorized,,int64_t,,2048,0.2,6,30670,False
naive,,int64_t,,2048,0.2,6,39248,False
vectorized,,int64_t,,2048,0.2,7,32307,False
naive,,int64_t,,2048,0.2,7,34891,False
vectorized,,int64_t,,2048,0.2,8,31088,False
naive,,int64_t,,2048,0.2,8,33685,False
vectorized,,int64_t,,2048,0.2,9,31103,False
naive,,int64_t,,2048,0.2,9,36158,False
vectorized,,int64_t,,2048,0.25,0,31538,True
naive,,int64_t,,2048,0.25,0,35739,True
vectorized,,int64_t,,2048,0.25,1,30516,True
naive,,int64_t,,2048,0.25,1,33211,True
vectorized,,int64_t,,2048,0.25,2,30378,True
naive,,int64_t,,2048,0.25,2,34616,True
vectorized,,int64_t,,2048,0.25,3,30594,True
naive,,int64_t,,2048,0.25,3,35051,True
vectorized,,int64_t,,2048,0.25,4,29464,True
naive,,int64_t,,2048,0.25,4,33487,True
vectorized,,int64_t,,2048,0.25,5,30477,True
naive,,int64_t,,2048,0.25,5,33327,True
vectorized,,int64_t,,2048,0.25,6,30258,True
naive,,int64_t,,2048,0.25,6,35527,True
vectorized,,int64_t,,2048,0.25,7,31429,True
naive,,int64_t,,2048,0.25,7,33486,True
vectorized,,int64_t,,2048,0.25,8,30592,True
naive,,int64_t,,2048,0.25,8,30134,True
vectorized,,int64_t,,2048,0.25,9,31064,True
naive,,int64_t,,2048,0.25,9,35210,True
vectorized,,int64_t,,2048,1.0,0,29903,True
naive,,int64_t,,2048,1.0,0,30639,True
vectorized,,int64_t,,2048,1.0,1,29237,True
naive,,int64_t,,2048,1.0,1,33816,True
vectorized,,int64_t,,2048,1.0,2,29502,True
naive,,int64_t,,2048,1.0,2,31212,True
vectorized,,int64_t,,2048,1.0,3,30268,True
naive,,int64_t,,2048,1.0,3,48625,True
vectorized,,int64_t,,2048,1.0,4,30310,True
naive,,int64_t,,2048,1.0,4,32304,True
vectorized,,int64_t,,2048,1.0,5,29494,True
naive,,int64_t,,2048,1.0,5,32361,True
vectorized,,int64_t,,2048,1.0,6,29859,True
naive,,int64_t,,2048,1.0,6,33988,True
vectorized,,int64_t,,2048,1.0,7,30145,True
naive,,int64_t,,2048,1.0,7,49564,True
vectorized,,int64_t,,2048,1.0,8,29922,True
naive,,int64_t,,2048,1.0,8,33537,True
vectorized,,int64_t,,2048,1.0,9,29791,True
naive,,int64_t,,2048,1.0,9,33640,True
vectorized,,int64_t,,4096,0.001,0,38489,False
naive,,int64_t,,4096,0.001,0,38803,False
vectorized,,int64_t,,4096,0.001,1,38901,False
naive,,int64_t,,4096,0.001,1,43006,False
vectorized,,int64_t,,4096,0.001,2,39630,False
naive,,int64_t,,4096,0.001,2,41048,False
vectorized,,int64_t,,4096,0.001,3,38999,False
naive,,int64_t,,4096,0.001,3,38673,False
vectorized,,int64_t,,4096,0.001,4,39603,False
naive,,int64_t,,4096,0.001,4,38784,False
vectorized,,int64_t,,4096,0.001,5,37816,False
naive,,int64_t,,4096,0.001,5,38525,False
vectorized,,int64_t,,4096,0.001,6,38150,False
naive,,int64_t,,4096,0.001,6,38141,False
vectorized,,int64_t,,4096,0.001,7,38522,False
naive,,int64_t,,4096,0.001,7,39157,False
vectorized,,int64_t,,4096,0.001,8,38516,False
naive,,int64_t,,4096,0.001,8,38186,False
vectorized,,int64_t,,4096,0.001,9,38857,False
naive,,int64_t,,4096,0.001,9,38367,False
vectorized,,int64_t,,4096,0.01,0,39050,False
naive,,int64_t,,4096,0.01,0,38928,False
vectorized,,int64_t,,4096,0.01,1,39048,False
naive,,int64_t,,4096,0.01,1,58637,False
