mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
vectorized,idxMin,double,,2048,0.01,0,3297480,False
naive,idxMin,double,,2048,0.01,0,3297872,False
vectorized,idxMin,double,,2048,0.01,1,3311139,False
naive,idxMin,double,,2048,0.01,1,3332996,False
vectorized,idxMin,double,,2048,0.01,2,3287087,False
naive,idxMin,double,,2048,0.01,2,4216030,False
vectorized,idxMin,double,,2048,0.01,3,3324506,False
naive,idxMin,double,,2048,0.01,3,3771306,False
vectorized,idxMin,double,,2048,0.01,4,3340762,False
naive,idxMin,double,,2048,0.01,4,3358943,False
vectorized,idxMin,double,,2048,0.01,5,3318774,False
naive,idxMin,double,,2048,0.01,5,3334053,False
vectorized,idxMin,double,,2048,0.01,6,3317258,False
naive,idxMin,double,,2048,0.01,6,3318093,False
vectorized,idxMin,double,,2048,0.01,7,3404992,False
naive,idxMin,double,,2048,0.01,7,3314190,False
vectorized,idxMin,double,,2048,0.01,8,4287347,False
naive,idxMin,double,,2048,0.01,8,3491435,False
vectorized,idxMin,double,,2048,0.01,9,3342975,False
naive,idxMin,double,,2048,0.01,9,3325301,False
vectorized,idxMin,double,,2048,0.05,0,3290180,False
naive,idxMin,double,,2048,0.05,0,3301215,False
vectorized,idxMin,double,,2048,0.05,1,4177132,False
naive,idxMin,double,,2048,0.05,1,3763877,False
vectorized,idxMin,double,,2048,0.05,2,3305292,False
naive,idxMin,double,,2048,0.05,2,3389050,False
vectorized,idxMin,double,,2048,0.05,3,3301935,False
naive,idxMin,double,,2048,0.05,3,3335222,False
vectorized,idxMin,double,,2048,0.05,4,3430572,False
naive,idxMin,double,,2048,0.05,4,3304366,False
vectorized,idxMin,double,,2048,0.05,5,3297739,False
naive,idxMin,double,,2048,0.05,5,3293357,False
vectorized,idxMin,double,,2048,0.05,6,3330027,False
naive,idxMin,double,,2048,0.05,6,3322291,False
vectorized,idxMin,double,,2048,0.05,7,3302071,False
naive,idxMin,double,,2048,0.05,7,3305806,False
