mode,op,element_type,analysis,n,sparsity,seed,time_ns,select-matrix-repr
vectorized,exp,double,,4096,0.1,1,61,False
naive,exp,double,,4096,0.1,1,117746051,False
vectorized,exp,double,,4096,0.1,2,62,False
naive,exp,double,,4096,0.1,2,118198199,False
vectorized,exp,double,,4096,0.1,3,62,False
naive,exp,double,,4096,0.1,3,118554204,False
vectorized,exp,double,,4096,0.1,4,68,False
naive,exp,double,,4096,0.1,4,114596354,False
vectorized,exp,double,,4096,0.1,5,61,False
naive,exp,double,,4096,0.1,5,118503573,False
vectorized,exp,double,,4096,0.1,6,68,False
naive,exp,double,,4096,0.1,6,114793420,False
vectorized,exp,double,,4096,0.1,7,59,False
naive,exp,double,,4096,0.1,7,118281018,False
vectorized,exp,double,,4096,0.1,8,61,False
naive,exp,double,,4096,0.1,8,118669882,False
vectorized,exp,double,,4096,0.1,9,70,False
naive,exp,double,,4096,0.1,9,118425936,False
vectorized,exp,double,,4096,0.2,0,61,False
naive,exp,double,,4096,0.2,0,127229039,False
vectorized,exp,double,,4096,0.2,1,60,False
naive,exp,double,,4096,0.2,1,126445178,False
vectorized,exp,double,,4096,0.2,2,62,False
naive,exp,double,,4096,0.2,2,127187299,False
vectorized,exp,double,,4096,0.2,3,61,False
naive,exp,double,,4096,0.2,3,130095138,False
vectorized,exp,double,,4096,0.2,4,71,False
naive,exp,double,,4096,0.2,4,129683376,False
vectorized,exp,double,,4096,0.2,5,60,False
naive,exp,double,,4096,0.2,5,136347481,False
vectorized,exp,double,,4096,0.2,6,61,False
naive,exp,double,,4096,0.2,6,130760814,False
vectorized,exp,double,,4096,0.2,7,60,False
naive,exp,double,,4096,0.2,7,126467694,False
vectorized,exp,double,,4096,0.2,8,64,False
naive,exp,double,,4096,0.2,8,130591214,False
vectorized,exp,double,,4096,0.2,9,63,False
naive,exp,double,,4096,0.2,9,130432641,False
vectorized,exp,double,,4096,0.25,0,60,True
naive,exp,double,,4096,0.25,0,136752347,True
vectorized,exp,double,,4096,0.25,1,70,True
naive,exp,double,,4096,0.25,1,136824745,True
vectorized,exp,double,,4096,0.25,2,60,True
naive,exp,double,,4096,0.25,2,136628734,True
vectorized,exp,double,,4096,0.25,3,70,True
naive,exp,double,,4096,0.25,3,136450790,True
vectorized,exp,double,,4096,0.25,4,74,True
naive,exp,double,,4096,0.25,4,136449567,True
vectorized,exp,double,,4096,0.25,5,72,True
naive,exp,double,,4096,0.25,5,135265312,True
vectorized,exp,double,,4096,0.25,6,61,True
naive,exp,double,,4096,0.25,6,133159656,True
vectorized,exp,double,,4096,0.25,7,60,True
naive,exp,double,,4096,0.25,7,136576255,True
vectorized,exp,double,,4096,0.25,8,62,True
naive,exp,double,,4096,0.25,8,136147625,True
vectorized,exp,double,,4096,0.25,9,61,True
naive,exp,double,,4096,0.25,9,136410322,True
vectorized,exp,double,,4096,1.0,0,69,True
naive,exp,double,,4096,1.0,0,104187287,True
vectorized,exp,double,,4096,1.0,1,144,True
naive,exp,double,,4096,1.0,1,100887802,True
vectorized,exp,double,,4096,1.0,2,68,True
naive,exp,double,,4096,1.0,2,104775705,True
vectorized,exp,double,,4096,1.0,3,60,True
naive,exp,double,,4096,1.0,3,104385462,True
vectorized,exp,double,,4096,1.0,4,60,True
naive,exp,double,,4096,1.0,4,105060779,True
vectorized,exp,double,,4096,1.0,5,61,True
naive,exp,double,,4096,1.0,5,101871796,True
vectorized,exp,double,,4096,1.0,6,123,True
naive,exp,double,,4096,1.0,6,104739608,True
vectorized,exp,double,,4096,1.0,7,62,True
naive,exp,double,,4096,1.0,7,101875907,True
vectorized,exp,double,,4096,1.0,8,68,True
naive,exp,double,,4096,1.0,8,113422096,True
vectorized,exp,double,,4096,1.0,9,237,True
naive,exp,double,,4096,1.0,9,104703077,True
vectorized,exp,double,symmetry,1024,0.001,0,23133903,False
