op,element_type,analysis,n,sparsity,mean_ns,std_ns
IDXMIN,double,sparsity,4096,1.0,21449490.0,65621.735051057
IDXMIN,int64_t,min,1024,0.25,428369.1,11681.116208555495
IDXMIN,int64_t,min,1024,1.0,437359.1,64591.49751657205
IDXMIN,int64_t,min,2048,0.25,2207456.0,56654.760553137414
IDXMIN,int64_t,min,2048,1.0,2157941.0,101693.8133647601
IDXMIN,int64_t,min,4096,0.25,8954319.0,15567.818979477555
IDXMIN,int64_t,min,4096,1.0,8913298.0,11575.472920504611
IDXMIN,int64_t,"min, max",1024,0.25,425821.0,12401.957730759917
IDXMIN,int64_t,"min, max",1024,1.0,435014.4,62024.963994257094
IDXMIN,int64_t,"min, max",2048,0.25,2200357.0,73660.83235569183
IDXMIN,int64_t,"min, max",2048,1.0,2195106.0,92649.34564738645
IDXMIN,int64_t,"min, max",4096,0.25,8928914.0,22108.06700430105
IDXMIN,int64_t,"min, max",4096,1.0,8908857.0,19086.2568648519
IDXMIN,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,0.25,512720.3,11798.485251647055
IDXMIN,int64_t,"min, max, mean, sparsity, numDistinctApprox",1024,1.0,512748.8,57350.17251315717
IDXMIN,int64_t,"min, max, mean, sparsity, numDistinctApprox",2048,0.25,2387220.0,65877.18623823172
IDXMIN,int64_t,"min, max, mean, sparsity, numDistinctApprox",2048,1.0,2379786.0,91669.39307460618
IDXMIN,int64_t,"min, max, mean, sparsity, numDistinctApprox",4096,0.25,9373807.0,10071.391882180378
IDXMIN,int64_t,"min, max, mean, sparsity, numDistinctApprox",4096,1.0,9274849.0,29670.86578896331
IDXMIN,int64_t,numDistinct,1024,0.25,460722.8,8528.597276874492
IDXMIN,int64_t,numDistinct,1024,1.0,459135.1,45870.39204214415
IDXMIN,int64_t,numDistinct,2048,0.25,2217404.0,30222.212287580085
IDXMIN,int64_t,numDistinct,2048,1.0,2208465.0,60227.27902610985
IDXMIN,int64_t,numDistinct,4096,0.25,8801731.0,45896.5894278768
IDXMIN,int64_t,numDistinct,4096,1.0,8589599.0,64777.499771654366
IDXMIN,int64_t,numDistinctApprox,1024,0.25,514437.6,9295.409371177659
IDXMIN,int64_t,numDistinctApprox,1024,1.0,513612.7,57986.796236633825
IDXMIN,int64_t,numDistinctApprox,2048,0.25,2424279.0,70176.1234244874
IDXMIN,int64_t,numDistinctApprox,2048,1.0,2388386.0,78812.35495360693
IDXMIN,int64_t,numDistinctApprox,4096,0.25,9305407.0,76268.38300079259
IDXMIN,int64_t,numDistinctApprox,4096,1.0,9142800.0,44894.79108612353
IDXMIN,int64_t,sparsity,1024,0.25,420270.0,13856.103901650467
IDXMIN,int64_t,sparsity,1024,1.0,431008.6,60333.12450829424
IDXMIN,int64_t,sparsity,2048,0.25,2207667.0,69395.32950182358
IDXMIN,int64_t,sparsity,2048,1.0,2170610.0,111296.55550225564
IDXMIN,int64_t,sparsity,4096,0.25,8912899.0,10982.356001028751
IDXMIN,int64_t,sparsity,4096,1.0,8903836.0,19268.085991550553
MEAN,double,min,1024,0.001,10867.7,1334.9680021134086
MEAN,double,min,1024,0.01,17033.6,438.09643788655603
