op,element_type,analysis,n,sparsity,mean_ns,std_ns
EXP,int64_t,numDistinct,4096,0.1,133365800.0,1526716.3601810404
EXP,int64_t,numDistinct,4096,0.2,169676800.0,3548526.4797909837
EXP,int64_t,numDistinct,4096,0.25,180384500.0,12635606.279698478
EXP,int64_t,numDistinct,4096,1.0,222015400.0,55051960.944386184
EXP,int64_t,numDistinctApprox,1024,0.001,9553981.0,1179282.832831039
EXP,int64_t,numDistinctApprox,1024,0.01,10297001.0,1193261.5730979615
EXP,int64_t,numDistinctApprox,1024,0.05,11927094.0,1247678.8400528221
EXP,int64_t,numDistinctApprox,1024,0.1,13550890.0,999377.9914971556
EXP,int64_t,numDistinctApprox,1024,0.2,16656880.0,1553480.2139425888
EXP,int64_t,numDistinctApprox,1024,0.25,20449740.0,703392.155834062
EXP,int64_t,numDistinctApprox,1024,1.0,30745390.0,1112369.0379346043
EXP,int64_t,numDistinctApprox,2048,0.001,53441870.0,7250304.044207005
EXP,int64_t,numDistinctApprox,2048,0.01,59255220.0,3488262.7697274555
EXP,int64_t,numDistinctApprox,2048,0.05,60384550.0,3921696.2963181576
EXP,int64_t,numDistinctApprox,2048,0.1,66669020.0,5077476.551901654
EXP,int64_t,numDistinctApprox,2048,0.2,76983050.0,4734146.324136309
EXP,int64_t,numDistinctApprox,2048,0.25,91334610.0,3131592.199735535
EXP,int64_t,numDistinctApprox,2048,1.0,130324000.0,6146540.255388482
EXP,int64_t,numDistinctApprox,4096,0.001,218794000.0,30251925.400616147
EXP,int64_t,numDistinctApprox,4096,0.01,243454200.0,20885796.43787721
EXP,int64_t,numDistinctApprox,4096,0.05,254600000.0,11963080.688332563
EXP,int64_t,numDistinctApprox,4096,0.1,267775700.0,22470532.402583506
EXP,int64_t,numDistinctApprox,4096,0.2,316268400.0,19892363.823560253
EXP,int64_t,numDistinctApprox,4096,0.25,353974500.0,22540106.12343153
EXP,int64_t,numDistinctApprox,4096,1.0,514855300.0,41920663.57630538
EXP,int64_t,sparsity,1024,0.001,936238.2,56098.37941568959
EXP,int64_t,sparsity,1024,0.01,1056726.0,64645.86455794715
EXP,int64_t,sparsity,1024,0.05,1634516.0,30215.95906507391
EXP,int64_t,sparsity,1024,0.1,2688161.0,18274.906566108577
EXP,int64_t,sparsity,1024,0.2,5127305.0,1086695.615557651
EXP,int64_t,sparsity,1024,0.25,7082491.0,32761.68136032613
EXP,int64_t,sparsity,1024,1.0,5365608.0,41868.76502172527
EXP,int64_t,sparsity,2048,0.001,17008640.0,105627.10300339099
EXP,int64_t,sparsity,2048,0.01,17956910.0,91714.5747535374
EXP,int64_t,sparsity,2048,0.05,21237400.0,54731.70927350991
EXP,int64_t,sparsity,2048,0.1,25256060.0,93895.4524990426
EXP,int64_t,sparsity,2048,0.2,32925080.0,33880.79757686357
EXP,int64_t,sparsity,2048,0.25,35720870.0,23441.039510510607
EXP,int64_t,sparsity,2048,1.0,27469610.0,16287.10805787438
EXP,int64_t,sparsity,4096,0.001,69299880.0,274839.36237575504
EXP,int64_t,sparsity,4096,0.01,72317140.0,277147.44651739317
EXP,int64_t,sparsity,4096,0.05,85263980.0,335787.06811178866
EXP,int64_t,sparsity,4096,0.1,101057100.0,338615.3012228207
EXP,int64_t,sparsity,4096,0.2,132066600.0,449901.76705587644
EXP,int64_t,sparsity,4096,0.25,143031700.0,540223.2151825974
EXP,int64_t,sparsity,4096,1.0,109758100.0,281287.29876132787
EXP,int64_t,symmetry,1024,0.001,1388036.0,54814.53542020889
EXP,int64_t,symmetry,1024,0.01,1617945.0,66207.41855881576
EXP,int64_t,symmetry,1024,0.05,2365205.0,81432.91448248136
EXP,int64_t,symmetry,1024,0.1,3519267.0,100568.12075514894
EXP,int64_t,symmetry,1024,0.2,5948812.0,1102339.200335158
EXP,int64_t,symmetry,1024,0.25,7269117.0,32959.664254627634
EXP,int64_t,symmetry,1024,1.0,5243905.0,76089.26910032854
EXP,int64_t,symmetry,2048,0.001,19175100.0,79909.33751585084
EXP,int64_t,symmetry,2048,0.01,20484710.0,92568.34652178755
EXP,int64_t,symmetry,2048,0.05,24100660.0,52667.388180712536
EXP,int64_t,symmetry,2048,0.1,28455830.0,53616.43715628027
EXP,int64_t,symmetry,2048,0.2,36209180.0,59156.23006544237
EXP,int64_t,symmetry,2048,0.25,36656610.0,37344.71403916108
EXP,int64_t,symmetry,2048,1.0,27534450.0,20906.577912226345
EXP,int64_t,symmetry,4096,0.001,78291980.0,334774.0624494201
EXP,int64_t,symmetry,4096,0.01,82074890.0,147598.8290378112
EXP,int64_t,symmetry,4096,0.05,96766420.0,363650.8209196777
EXP,int64_t,symmetry,4096,0.1,114108200.0,80376.61351413166
EXP,int64_t,symmetry,4096,0.2,146534200.0,593299.3997787118
EXP,int64_t,symmetry,4096,0.25,146317800.0,520695.21902079356
EXP,int64_t,symmetry,4096,1.0,109767700.0,346055.24607110536
MINUS,double,min,1024,0.001,6531.7,914.942020020941
MINUS,double,min,1024,0.01,26135.0,73.83765976789843
MINUS,double,min,1024,0.05,140819.6,12046.535437396287
MINUS,double,min,1024,0.1,300588.3,17656.131412502436
MINUS,double,min,1024,0.2,645320.4,253775.99740243366
MINUS,double,min,1024,0.25,2576558.0,597417.036300625
MINUS,double,min,1024,1.0,2397809.0,24605.554228443805
MINUS,double,min,2048,0.001,17764.0,1321.103831397568
MINUS,double,min,2048,0.01,104626.3,3875.760973308624
MINUS,double,min,2048,0.05,579303.9,18434.85532866719
MINUS,double,min,2048,0.1,1114948.0,20644.116083981127
MINUS,double,min,2048,0.2,2712249.0,1014264.0519931462
MINUS,double,min,2048,0.25,16885940.0,17229.05814153656
