result_repr,element_type,analysis,n,sparsity,mean_ns,std_ns
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.01,34643.9,1517.9835638108862
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.05,51829.1,7674.760415370198
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.1,64202.6,10227.761253894552
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.2,82545.6,15293.80060460229
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,0.25,89331.3,17521.42919747765
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",2048,1.0,382195.5,119614.67819372707
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.001,53861.4,5024.668174781959
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.01,71588.5,6555.208806742922
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.05,100884.1,15914.543351915569
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.1,119329.2,21060.777762360904
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.2,144702.5,28704.52724745698
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,0.25,158351.4,34141.47475236924
CSRMatrix,int64_t,"min, max, mean, sparsity, symmetry, numDistinctApprox",4096,1.0,1127201.2,374212.0503210862
CSRMatrix,int64_t,numDistinct,1024,0.001,12511.6,842.766107001884
CSRMatrix,int64_t,numDistinct,1024,0.01,15851.0,1588.8737450715769
CSRMatrix,int64_t,numDistinct,1024,0.05,23830.0,3693.129837955877
CSRMatrix,int64_t,numDistinct,1024,0.1,31003.1,5478.712834436773
CSRMatrix,int64_t,numDistinct,1024,0.2,41091.3,8502.357490719854
CSRMatrix,int64_t,numDistinct,1024,0.25,44803.8,9901.954350306587
CSRMatrix,int64_t,numDistinct,1024,1.0,126802.2,38056.678373768314
CSRMatrix,int64_t,numDistinct,2048,0.001,25179.0,1661.8664206247142
CSRMatrix,int64_t,numDistinct,2048,0.01,32301.1,3702.8639801585423
CSRMatrix,int64_t,numDistinct,2048,0.05,47635.0,7914.200331612088
CSRMatrix,int64_t,numDistinct,2048,0.1,57774.9,11076.312056215584
CSRMatrix,int64_t,numDistinct,2048,0.2,71390.6,15022.619738987676
CSRMatrix,int64_t,numDistinct,2048,0.25,78237.7,17461.050407820385
CSRMatrix,int64_t,numDistinct,2048,1.0,383078.8,124404.19847756122
CSRMatrix,int64_t,numDistinct,4096,0.001,50532.7,4734.456065202562
CSRMatrix,int64_t,numDistinct,4096,0.01,68607.8,9078.535011528871
CSRMatrix,int64_t,numDistinct,4096,0.05,91336.1,15740.071046359493
